,CHIQAP_TOKEN_CHIQAQ,CHIQAP_TOKEN_MANA_CHIQAQ,CHIQI_KAY_TOKEN,COMA_TOKEN,DOS_PUNTOS_TOKEN,HATUN_RURAY_TOKEN,IDENTIFICADOR_TOKEN,LLAVE_ABRE,LLAVE_CIERRA,OPERADOR_ASIGNACION,OPERADOR_IGUALDAD,OPERADOR_LOGICO_UTAQ,OPERADOR_LOGICO_WAN,OPERADOR_MANA_IGUAL,OPERADOR_MAS,OPERADOR_MAYOR,OPERADOR_MAYOR_IGUAL,OPERADOR_MENOR,OPERADOR_MENOR_IGUAL,OPERADOR_MENOS,OPERADOR_MODULO,OPERADOR_PACHA,OPERADOR_RAKI,PALABRA_RESERVADA_IMPRIMIY,PALABRA_RESERVADA_KUTIPAY,PALABRA_RESERVADA_MANA_SICHUS,PALABRA_RESERVADA_PAKIY,PALABRA_RESERVADA_PARA,PALABRA_RESERVADA_RURAY,PALABRA_RESERVADA_SICHUS,PALABRA_RESERVADA_VAR,PARENTESIS_ABRE,PARENTESIS_CIERRA,PUNTO_Y_COMA_TOKEN,QILLQA_TOKEN,TIPO_CHIQAP,TIPO_CHIQI,TIPO_QILLQA,TIPO_YUPAY,YUPAY_TOKEN,$
Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DefinitionList,,DefinitionList,,,,,,,,,,DefinitionList
DefinitionList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_RURAY OneDefinition DefinitionList,,PALABRA_RESERVADA_VAR IDENTIFICADOR_TOKEN Type InicializacionOpt PUNTO_Y_COMA_TOKEN DefinitionList,,,,,,,,,,epsilon
OneDefinition,,,,,,HATUN_RURAY_TOKEN PARENTESIS_ABRE PARENTESIS_CIERRA Block,IDENTIFICADOR_TOKEN PARENTESIS_ABRE ParamListOpt PARENTESIS_CIERRA TypeOpt Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,,,,,,,,LLAVE_ABRE InstruccionesOpt LLAVE_CIERRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InstruccionesOpt,,,,,,,Instruccion InstruccionesOpt,,epsilon,,,,,,,,,,,,,,,Instruccion InstruccionesOpt,Instruccion InstruccionesOpt,,Instruccion InstruccionesOpt,Instruccion InstruccionesOpt,,Instruccion InstruccionesOpt,Instruccion InstruccionesOpt,,,,,,,,,,
Instruccion,,,,,,,AssignmentStmt,,,,,,,,,,,,,,,,,PrintStmt,Retorno,,Retorno,Bucle,,Estructura_If,DeclaracionVariable,,,,,,,,,,
DeclaracionVariable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_VAR IDENTIFICADOR_TOKEN Type InicializacionOpt PUNTO_Y_COMA_TOKEN,,,,,,,,,,
AssignmentStmt,,,,,,,IDENTIFICADOR_TOKEN OPERADOR_ASIGNACION Expression PUNTO_Y_COMA_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InicializacionOpt,,,,,,,,,,OPERADOR_ASIGNACION Expression,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,
ParamListOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,ParamList,ParamList,ParamList,ParamList,,
ParamList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Param ParamTail,Param ParamTail,Param ParamTail,Param ParamTail,,
Param,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type DOS_PUNTOS_TOKEN IDENTIFICADOR_TOKEN,Type DOS_PUNTOS_TOKEN IDENTIFICADOR_TOKEN,Type DOS_PUNTOS_TOKEN IDENTIFICADOR_TOKEN,Type DOS_PUNTOS_TOKEN IDENTIFICADOR_TOKEN,,
ParamTail,,,,COMA_TOKEN Param ParamTail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,,
Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPO_CHIQAP,TIPO_CHIQI,TIPO_QILLQA,TIPO_YUPAY,,
TypeOpt,,,,,,,,epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,Type,Type,,
PrintStmt,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_IMPRIMIY PARENTESIS_ABRE Expression PARENTESIS_CIERRA PUNTO_Y_COMA_TOKEN,,,,,,,,,,,,,,,,,
IncrementoStmt,,,,,,,IDENTIFICADOR_TOKEN Incremento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incremento,,,,,,,,,,,,,,,IncrementoOpPlus,,,,,IncrementoOpMinus,,,,,,,,,,,,,,,,,,,,,
IncrementoOpPlus,,,,,,,,,,,,,,,OPERADOR_MAS OPERADOR_MAS,,,,,,,,,,,,,,,,,,,,,,,,,,
IncrementoOpMinus,,,,,,,,,,,,,,,,,,,,OPERADOR_MENOS OPERADOR_MENOS,,,,,,,,,,,,,,,,,,,,,
Expression,TermLogico ExpressionPrima,TermLogico ExpressionPrima,TermLogico ExpressionPrima,,,,TermLogico ExpressionPrima,,,,,,,,,,,,,,,,,,,,,,,,,TermLogico ExpressionPrima,,,TermLogico ExpressionPrima,,,,,TermLogico ExpressionPrima,
ExpressionPrima,,,,epsilon,,,,,,,,OpcionLogico TermLogico ExpressionPrima,OpcionLogico TermLogico ExpressionPrima,,,,,,,,,,,,,,,,,,,,epsilon,epsilon,,,,,,,
TermLogico,TermComparacion TermLogicoConti,TermComparacion TermLogicoConti,TermComparacion TermLogicoConti,,,,TermComparacion TermLogicoConti,,,,,,,,,,,,,,,,,,,,,,,,,TermComparacion TermLogicoConti,,,TermComparacion TermLogicoConti,,,,,TermComparacion TermLogicoConti,
TermLogicoConti,,,,epsilon,,,,,,,OpcionComparacion TermComparacion TermLogicoConti,epsilon,epsilon,OpcionComparacion TermComparacion TermLogicoConti,,OpcionComparacion TermComparacion TermLogicoConti,OpcionComparacion TermComparacion TermLogicoConti,OpcionComparacion TermComparacion TermLogicoConti,OpcionComparacion TermComparacion TermLogicoConti,,,,,,,,,,,,,,epsilon,epsilon,,,,,,,
TermComparacion,Factor TermComparacionConti,Factor TermComparacionConti,Factor TermComparacionConti,,,,Factor TermComparacionConti,,,,,,,,,,,,,,,,,,,,,,,,,Factor TermComparacionConti,,,Factor TermComparacionConti,,,,,Factor TermComparacionConti,
TermComparacionConti,,,,epsilon,,,,,,,epsilon,epsilon,epsilon,epsilon,,epsilon,epsilon,epsilon,epsilon,,,,,,,,,,,,,,epsilon,epsilon,,,,,,,
Factor,Unidad FactorConti,Unidad FactorConti,Unidad FactorConti,,,,Unidad FactorConti,,,,,,,,,,,,,,,,,,,,,,,,,Unidad FactorConti,,,Unidad FactorConti,,,,,Unidad FactorConti,
FactorConti,,,,epsilon,,,,,,,epsilon,epsilon,epsilon,epsilon,MulOp Unidad FactorConti,epsilon,epsilon,epsilon,epsilon,MulOp Unidad FactorConti,MulOp Unidad FactorConti,MulOp Unidad FactorConti,MulOp Unidad FactorConti,,,,,,,,,,epsilon,epsilon,,,,,,,
MulOp,,,,,,,,,,,,,,,MulOpSum,,,,,MulOpRes,MulOpModulo,MulOpPacha,MulOpRakiy,,,,,,,,,,,,,,,,,,
MulOpPacha,,,,,,,,,,,,,,,,,,,,,,OPERADOR_PACHA,,,,,,,,,,,,,,,,,,,
MulOpRakiy,,,,,,,,,,,,,,,,,,,,,,,OPERADOR_RAKI,,,,,,,,,,,,,,,,,,
MulOpModulo,,,,,,,,,,,,,,,,,,,,,OPERADOR_MODULO,,,,,,,,,,,,,,,,,,,,
MulOpSum,,,,,,,,,,,,,,,OPERADOR_MAS,,,,,,,,,,,,,,,,,,,,,,,,,,
MulOpRes,,,,,,,,,,,,,,,,,,,,OPERADOR_MENOS,,,,,,,,,,,,,,,,,,,,,
Unidad,Dato,Dato,Dato,,,,ValorUnitario,,,,,,,,,,,,,,,,,,,,,,,,,PARENTESIS_ABRE Expression PARENTESIS_CIERRA,,,Dato,,,,,Dato,
ValorUnitario,,,,,,,IDENTIFICADOR_TOKEN ValorUnitarioRest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ValorUnitarioRest,,,,epsilon,,,,,,,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,,,,,,,,,PARENTESIS_ABRE ArgumentosFuncionOpt PARENTESIS_CIERRA,epsilon,epsilon,,,,,,,
ArgumentosFuncionOpt,Expression MasArgumentosFuncion,Expression MasArgumentosFuncion,Expression MasArgumentosFuncion,,,,Expression MasArgumentosFuncion,,,,,,,,,,,,,,,,,,,,,,,,,Expression MasArgumentosFuncion,epsilon,,Expression MasArgumentosFuncion,,,,,Expression MasArgumentosFuncion,
MasArgumentosFuncion,,,,COMA_TOKEN Expression MasArgumentosFuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,,
Bucle,,,,,,,,,,,,,,,,,,,,,,,,,,,,ForLoop,,,,,,,,,,,,,
ForLoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_PARA PARENTESIS_ABRE LoopInitialization PUNTO_Y_COMA_TOKEN ExpressionOpt PUNTO_Y_COMA_TOKEN LoopUpdateOpt PARENTESIS_CIERRA Block,,,,,,,,,,,,,
LoopInitialization,,,,,,,IDENTIFICADOR_TOKEN DOS_PUNTOS_TOKEN OPERADOR_ASIGNACION AsignacionBucle,,,,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,
AsignacionBucle,AsignacionBucleDato,AsignacionBucleDato,AsignacionBucleDato,,,,ValorUnitario,,,,,,,,,,,,,,,,,,,,,,,,,,,,AsignacionBucleDato,,,,,AsignacionBucleDato,
AsignacionBucleDato,Dato,Dato,Dato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dato,,,,,Dato,
ExpressionOpt,Expression,Expression,Expression,,,,Expression,,,,,,,,,,,,,,,,,,,,,,,,,Expression,,epsilon,Expression,,,,,Expression,
LoopUpdateOpt,,,,,,,IncrementoStmt,,,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,,
Estructura_If,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_SICHUS PARENTESIS_ABRE Expression PARENTESIS_CIERRA Block ElseOpcional,,,,,,,,,,,
ElseOpcional,,,,,,,ElseOpcionalVacio,,ElseOpcionalVacio,,,,,,,,,,,,,,,ElseOpcionalVacio,ElseOpcionalVacio,ManaSichusBloque,ElseOpcionalVacio,ElseOpcionalVacio,,ElseOpcionalVacio,ElseOpcionalVacio,,,,,,,,,,
ManaSichusBloque,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_MANA_SICHUS ArgumentosElseIf Block ElseOpcional,,,,,,,,,,,,,,,
ElseOpcionalVacio,,,,,,,epsilon,,epsilon,,,,,,,,,,,,,,,epsilon,epsilon,,epsilon,epsilon,,epsilon,epsilon,,,,,,,,,,
ArgumentosElseIf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARENTESIS_ABRE Expression PARENTESIS_CIERRA,,,,,,,,,
Retorno,,,,,,,,,,,,,,,,,,,,,,,,,RetornoConValor,,RetornoSinValor,,,,,,,,,,,,,,
RetornoConValor,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_KUTIPAY Expression PUNTO_Y_COMA_TOKEN,,,,,,,,,,,,,,,,
RetornoSinValor,,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_PAKIY PUNTO_Y_COMA_TOKEN,,,,,,,,,,,,,,
Dato,CHIQAP_TOKEN_CHIQAQ,CHIQAP_TOKEN_MANA_CHIQAQ,CHIQI_KAY_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QILLQA_TOKEN,,,,,YUPAY_TOKEN,
OpcionLogico,,,,,,,,,,,,OpcionLogicoUtaq,OpcionLogicoWan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionLogicoWan,,,,,,,,,,,,,OPERADOR_LOGICO_WAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionLogicoUtaq,,,,,,,,,,,,OPERADOR_LOGICO_UTAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacion,,,,,,,,,,,OpcionComparacionIgual,,,OpcionComparacionNoIgual,,OpcionComparacionMayor,OpcionComparacionMayorIgual,OpcionComparacionMenor,OpcionComparacionMenorIgual,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionIgual,,,,,,,,,,,OPERADOR_IGUALDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionNoIgual,,,,,,,,,,,,,,OPERADOR_MANA_IGUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionMenor,,,,,,,,,,,,,,,,,,OPERADOR_MENOR,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionMayor,,,,,,,,,,,,,,,,OPERADOR_MAYOR,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionMenorIgual,,,,,,,,,,,,,,,,,,,OPERADOR_MENOR_IGUAL,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionMayorIgual,,,,,,,,,,,,,,,,,OPERADOR_MAYOR_IGUAL,,,,,,,,,,,,,,,,,,,,,,,,
